CustomerID,Gender,Locations,Age,ProductID,Product_name,Product_Description,Product_Category,Stock,Price,TransactionID,Transaction_Date,Total_Price,Quantity,VoucherID,Voucher_name,Voucher_status,Discount,PMID,Method_name,Discount_Price
12350,Male,California,43,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1004689,17.03.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12359,Male,New York,34,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1008838,30.01.21,269730,1,ELEC10,Discount 10%,Used,10%,PM01,Card,29970
12373,Female,New York,25,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1004098,29.01.21,584850,1,ELEC30,Discount 30%,Clicked,30%,PM04,Other,175455
12383,Male,New York,35,GGOEAAAJ032445,Men's Crewneck Sweatshirts Soild Color,Men's Crewneck Sweatshirts Soild Color Geometric Texture Long Sleeve Casual Pullover Shirt,Apparel,100000,374850,1008599,08.05.21,674730,2,ELEC10,Discount 10%,Used,10%,PM02,Paypal,37485
12393,Female,Chicago,38,GGOEAAAJ032455,yageyan Men Canvas Low top Shoes,yageyan Men Canvas Low top Shoes Classic Casual Sneakers Black and White Fashion Shoes,Apparel,100000,374850,1009828,18.03.21,16868250,45,OFF20,Discount 20%,Clicked,20%,PM01,Card,74970
12410,Male,California,41,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1004612,13.05.21,267030,3,ELEC40,Discount 40%,Used,40%,PM04,Other,59340
12414,Male,New York,46,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1004683,21.12.21,89010,1,ELEC40,Discount 40%,Used,40%,PM03,Digital Wallets,59340
12431,Female,New Jersey,39,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1000038,24.04.21,89010,1,ELEC40,Discount 40%,Used,40%,PM03,Digital Wallets,59340
12433,Male,California,41,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1003943,23.07.21,712080,8,ELEC40,Discount 40%,Used,40%,PM03,Digital Wallets,59340
12437,Female,New Jersey,47,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1004678,15.06.21,89010,1,ELEC40,Discount 40%,Used,40%,PM02,Paypal,59340
12464,Male,New York,22,GGOEWEBB082199,OLANLY Luxury Bathroom Rug Mat 24x16,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Grey",Home Furniture,100000,148350,1007704,21.03.21,89010,1,ELEC40,Discount 40%,Used,40%,PM03,Digital Wallets,59340
12471,Female,California,31,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1001689,15.07.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM01,Card,55485
12472,Female,New Jersey,33,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1003781,25.01.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM01,Card,55485
12474,Female,New York,29,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1009730,14.05.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12477,Female,California,59,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1004404,19.12.21,998729.9999999999,2,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12480,Male,California,54,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1009664,27.09.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM01,Card,55485
12481,Female,California,57,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1008437,25.09.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM01,Card,55485
12484,Male,California,48,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1009858,10.01.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12489,Male,California,21,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1009444,28.11.21,1498095,3,ELEC10,Discount 10%,Used,10%,PM01,Card,55485
12490,Female,New York,54,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1009738,24.05.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12501,Male,Chicago,58,GGOEAAAJ032415,ANRABESS Women's Summer 2 Piece Outfits,ANRABESS Women's Summer 2 Piece Outfits Sleeveless Tank Crop Button Back Top Capri Wide Leg Pants Linen Set with Pockets,Apparel,100000,554850,1008465,10.07.21,499364.99999999994,1,ELEC10,Discount 10%,Used,10%,PM02,Paypal,55485
12502,Female,California,39,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005021,08.08.21,539460,2,ELEC10,Discount 10%,Used,10%,PM01,Card,29970
12503,Female,California,41,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005022,12.07.21,269730,1,ELEC10,Discount 10%,Used,10%,PM03,Digital Wallets,29970
12504,Female,California,19,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005023,04.07.21,269730,1,ELEC10,Discount 10%,Used,10%,PM03,Digital Wallets,29970
12505,Female,California,37,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005024,03.08.21,539460,2,ELEC10,Discount 10%,Used,10%,PM03,Digital Wallets,29970
12506,Female,California,55,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005025,17.01.21,269730,1,ELEC10,Discount 10%,Used,10%,PM01,Card,29970
12507,Female,California,35,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005026,30.01.21,1348650,5,ELEC10,Discount 10%,Used,10%,PM01,Card,29970
12508,Female,California,52,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005027,05.11.21,269730,1,ELEC10,Discount 10%,Used,10%,PM03,Digital Wallets,29970
12509,Female,California,21,GGOEAAAJ032425,Dokotoo Tops for Women Trendy Summer Casual,Dokotoo Tops for Women Trendy Summer Casual Cap Short Sleeve Basic Textured Solid Color Round Neck T Shirts Blouse,Apparel,100000,299700,1005028,28.05.21,269730,1,ELEC10,Discount 10%,Used,10%,PM01,Card,29970
12510,Female,California,49,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1005029,12.09.21,584850,1,ELEC30,Discount 30%,Clicked,30%,PM04,Other,175455
12511,Female,California,50,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1005030,18.08.21,584850,1,ELEC30,Discount 30%,Not Used,30%,PM03,Digital Wallets,175455
12512,Female,California,17,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1005031,28.05.21,2339400,4,ELEC30,Discount 30%,Not Used,30%,PM03,Digital Wallets,175455
12513,Female,California,62,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1005032,15.09.21,584850,1,ELEC30,Discount 30%,Not Used,30%,PM01,Card,175455
12514,Female,California,26,GGOEAAAJ032435,rendy Queen Womens Oversized Sweatshirts Turtleneck,rendy Queen Womens Oversized Sweatshirts Turtleneck Pullover Long Sleeve Hoodies Tops Fall Outfits 2023 Clothes,Apparel,100000,584850,1005033,23.06.21,584850,1,ELEC30,Discount 30%,Clicked,30%,PM04,Other,175455
